STATION,DATE,DLY-AVG-NORMAL,
USW00023062,01-01,30.3,
USW00023062,01-02,30.4,
USW00023062,01-03,30.5,
USW00023062,01-04,30.6,
USW00023062,01-05,30.7,
USW00023062,01-06,30.7,
USW00023062,01-07,30.8,
USW00023062,01-08,30.9,
USW00023062,01-09,30.9,
USW00023062,01-10,31.0,
USW00023062,01-11,31.0,
USW00023062,01-12,31.1,
USW00023062,01-13,31.1,
USW00023062,01-14,31.1,
USW00023062,01-15,31.1,
USW00023062,01-16,31.1,
USW00023062,01-17,31.1,
USW00023062,01-18,31.2,
USW00023062,01-19,31.2,
USW00023062,01-20,31.2,
USW00023062,01-21,31.1,
USW00023062,01-22,31.1,
USW00023062,01-23,31.1,
USW00023062,01-24,31.1,
USW00023062,01-25,31.1,
USW00023062,01-26,31.1,
USW00023062,01-27,31.1,
USW00023062,01-28,31.1,
USW00023062,01-29,31.1,
USW00023062,01-30,31.1,
USW00023062,01-31,31.1,
USW00023062,02-01,31.2,
USW00023062,02-02,31.2,
USW00023062,02-03,31.2,
USW00023062,02-04,31.3,
USW00023062,02-05,31.3,
USW00023062,02-06,31.4,
USW00023062,02-07,31.5,
USW00023062,02-08,31.6,
USW00023062,02-09,31.7,
USW00023062,02-10,31.8,
USW00023062,02-11,32.0,
USW00023062,02-12,32.1,
USW00023062,02-13,32.3,
USW00023062,02-14,32.4,
USW00023062,02-15,32.6,
USW00023062,02-16,32.8,
USW00023062,02-17,33.0,
USW00023062,02-18,33.2,
USW00023062,02-19,33.5,
USW00023062,02-20,33.7,
USW00023062,02-21,33.9,
USW00023062,02-22,34.2,
USW00023062,02-23,34.4,
USW00023062,02-24,34.7,
USW00023062,02-25,35.0,
USW00023062,02-26,35.2,
USW00023062,02-27,35.5,
USW00023062,02-28,35.8,
USW00023062,03-01,36.1,
USW00023062,03-02,36.4,
USW00023062,03-03,36.6,
USW00023062,03-04,36.9,
USW00023062,03-05,37.3,
USW00023062,03-06,37.5,
USW00023062,03-07,37.8,
USW00023062,03-08,38.1,
USW00023062,03-09,38.3,
USW00023062,03-10,38.6,
USW00023062,03-11,38.9,
USW00023062,03-12,39.2,
USW00023062,03-13,39.4,
USW00023062,03-14,39.7,
USW00023062,03-15,40.0,
USW00023062,03-16,40.2,
USW00023062,03-17,40.4,
USW00023062,03-18,40.7,
USW00023062,03-19,40.9,
USW00023062,03-20,41.1,
USW00023062,03-21,41.4,
USW00023062,03-22,41.6,
USW00023062,03-23,41.8,
USW00023062,03-24,42.0,
USW00023062,03-25,42.2,
USW00023062,03-26,42.4,
USW00023062,03-27,42.6,
USW00023062,03-28,42.8,
USW00023062,03-29,43.1,
USW00023062,03-30,43.3,
USW00023062,03-31,43.5,
USW00023062,04-01,43.7,
USW00023062,04-02,43.9,
USW00023062,04-03,44.1,
USW00023062,04-04,44.3,
